,iter,GAMMA_0,BETA_0,energy,energy_ratio,energy_solution,variance,fidelity_exact,fidelity_sampled,ratio,corr_length,const_kernel,std_energies,average_distances,nit,time_opt_bayes,time_qaoa,time_opt_kernel,time_step
0,1,401,615,-2.1271875,-77.91149780902687,0.02730261334744283,0.9348338737401359,0.152265625,0.15409306171834913,0.0,1.4612046830575525,0.3858764885115126,0.0,0.0,0,0.0,0.0,0.0,0.0
1,2,300,442,-2.4828125,-77.91149780902687,0.031867087269786,1.242457906867724,0.27921875,0.27058981117869074,2.3132686084142393,1.4612046830575525,0.3858764885115126,0.0,0.0,0,0.0,0.0,0.0,0.0
2,3,194,320,-2.32078125,-77.91149780902687,0.02978740385261998,1.251415906516134,0.142578125,0.14611236731474941,0.0,1.4612046830575525,0.3858764885115126,0.0,0.0,0,0.0,0.0,0.0,0.0
3,4,785,294,-2.204453125,-77.91149780902687,0.0282943235208166,1.1647742926693492,0.098359375,0.09865615358137216,0.0,1.4612046830575525,0.3858764885115126,0.0,0.0,0,0.0,0.0,0.0,0.0
4,5,609,767,-1.913671875,-77.91149780902687,0.024562124061466583,1.3280418331021955,0.1215625,0.12330965272895086,1.0980945659844743,1.4612046830575525,0.3858764885115126,0.0,0.0,0,0.0,0.0,0.0,0.0
5,6,560,145,-0.936953125,-77.91149780902687,0.012025864620092622,0.6359966537913117,0.001796875,0.001157026600987933,0.0,1.4612046830575525,0.3858764885115126,0.0,0.0,0,0.0,0.0,0.0,0.0
6,7,515,698,-1.991796875,-77.91149780902687,0.025564864378325804,1.278079433695992,0.1684375,0.17131695915459577,1.2933413317336533,1.4612046830575525,0.3858764885115126,0.0,0.0,0,0.0,0.0,0.0,0.0
7,8,148,492,-2.38109375,-77.91149780902687,0.030561519377235294,1.0371923343620595,0.22765625,0.2261794489995856,1.2625649913344887,1.4612046830575525,0.3858764885115126,0.0,0.0,0,0.0,0.0,0.0,0.0
8,9,342,192,-1.410859375,-77.91149780902687,0.018108487382160646,0.8919673839264783,0.00859375,0.008648148998100959,0.0,1.4612046830575525,0.3858764885115126,0.0,0.0,0,0.0,0.0,0.0,0.0
9,10,686,538,-2.2825,-77.91149780902687,0.029296061097358963,0.8769810141417298,0.171328125,0.17662122625973062,0.0,1.4612046830575525,0.3858764885115126,0.0,0.0,0,0.0,0.0,0.0,0.0
10,10,240,472,-2.407109375,-77.91149780902687,-0.60177734375,1.1445857525490275,0.245234375,0.248230030335728,1.6995127233351381,0.3858764885115126,1.4612046830575525,5.2698193468930725e-05,0.006351720025713985,16,0.08423495292663574,0.08026909828186035,0.06729769706726074,0.23180174827575684
11,11,259,423,-2.4753125,-77.91149780902687,-0.618828125,1.3155870575826236,0.270390625,0.2721996691507965,1.9971148297749568,0.4211072134802698,1.7143703331927587,0.0007511428682383302,0.006029879886818165,16,0.0821230411529541,0.07823681831359863,0.07154512405395508,0.2319049835205078
12,12,800,451,-2.450703125,-77.91149780902687,-0.61267578125,1.2276657295003517,0.264921875,0.2669867886139489,2.2338603425559946,0.45818097301557575,1.991257308850779,0.0007844412966006583,0.007287517519955552,21,0.1034400463104248,0.14031004905700684,0.10855460166931152,0.35230588912963867
13,13,237,421,-2.4634375,-77.91149780902687,-0.615859375,1.3429868544417536,0.268046875,0.2722019343300736,1.986682107701216,0.5160971502966647,2.4212632416961197,7.47820164015586e-05,0.0012888049312517566,19,0.09511518478393555,0.0754239559173584,0.08412384986877441,0.25466299057006836
14,14,100,398,-2.473984375,-77.91149780902687,-0.61849609375,1.4028702864969924,0.25796875,0.25972093908030935,1.8073344280240833,0.5404217054470136,2.733059996724596,0.0005797303852074654,0.0038484894560662196,21,0.10297179222106934,0.058013916015625,0.09478211402893066,0.255767822265625
15,15,100,396,-2.4734375,-77.91149780902687,-0.618359375,1.4161238182670524,0.2590625,0.25972093908030935,1.7415966386554622,0.5943705276254002,3.383739305083452,0.000671151836985644,0.00302964053034186,21,0.10363984107971191,0.05755901336669922,0.0771949291229248,0.23839378356933594
16,16,100,396,-2.4734375,-77.91149780902687,-0.618359375,1.3647135518399878,0.258828125,0.25972093908030935,1.78214093598709,0.6033308990782158,3.6282479842940796,0.00042537007867840873,0.0016117012337272876,26,0.12524199485778809,0.05754804611206055,0.10455513000488281,0.28734612464904785
