  0    283   2072   2104   1070   1416   2133   2463   2177 -2.0156 0.6927 0.0156 0.0677 0.0000 0.0100 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  1    665    518    213   2695   1701   1744   2067   1898 -2.5156 1.5903 0.2500 0.0754 2.0000 0.0100 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  2   2297    940   1152    704   1147    335   1530   1401 -1.9531 1.0214 0.0469 0.0079 0.0000 0.0100 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  3   1646    270   1303   2847    158   2546    218    850 -1.8906 0.9171 0.0625 0.0237 0.0000 0.0100 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  4   2678   1635   2461   1629    558    654    626   1100 -1.6797 0.9753 0.0703 0.0052 0.0000 0.0100 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  5    778   2412    696   1922   1920   2713   2819   2567 -1.6016 1.0132 0.0156 0.0019 0.0000 0.0100 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  6   1484   1061   2217    113   2729   1987    722    402 -1.8359 0.9099 0.0234 0.1880 0.0000 0.0100 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  7   1139   2534   1667   2280   2573   1195   1785   2910 -1.9453 0.8867 0.0859 0.1548 0.0000 0.0100 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  8   2828   1358    442   1466    820    838   1210    105 -2.0859 0.9768 0.0781 0.1542 0.0000 0.0100 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  9   2032   2799   2799    456   2178   1275   2326   1646 -2.3516 0.7494 0.0859 0.0839 0.0000 0.0100 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 10    316   2075   2088   1071   1437   2142   2508   2133 -2.0234 0.6845 0.0469 0.0720 0.0000 0.0100 0.9116 0.0000 0.0249 400.0000 6.7410 0.1683 0.0968 7.0061 
 11    663    507    209   2698   1700   1738   2063   1894 -2.5312 1.6053 0.2734 0.0731 1.8421 0.2102 0.9893 0.0004 0.0097 42.0000 0.7867 0.1443 0.0980 1.0291 
 12    657    469    195   2711   1697   1719   2051   1881 -2.4062 1.6919 0.2578 0.0657 1.9412 0.2191 0.8261 0.0002 0.0095 39.0000 0.7302 0.1439 0.0808 0.9549 
 13    682    623    252   2660   1709   1797   2100   1934 -2.5078 1.5590 0.2188 0.0882 1.7500 0.2254 0.7893 0.0004 0.0087 39.0000 0.7400 0.1480 0.0711 0.9591 
 14    689    633    232   2735   1721   1853   2162   1969 -2.3906 1.1848 0.1406 0.0895 1.1250 0.3000 0.7774 0.0001 0.0088 51.0000 0.9344 0.1502 0.1029 1.1875 
 15    625    549    253   2491   1690   1635   1955   1843 -2.6328 1.7303 0.3984 0.0515 2.8333 0.3543 0.8053 0.0001 0.0088 40.0000 0.7579 0.1383 0.0852 0.9814 
 16    558    529    247   2335   1687   1522   1862   1790 -2.3984 1.4384 0.2656 0.0293 2.1250 0.3914 0.8516 0.0002 0.0085 46.0000 0.8586 0.1366 0.0605 1.0557 
