  0    771   2101 -2.5391 1.3370 0.2734 0.0000 1.6667 0.1739 1.0091 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  1   2552   2905 -2.3750 0.8504 0.1562 0.0000 0.0000 0.1739 1.0091 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  2   1918    536 -1.8203 1.8179 0.2188 0.0000 0.0000 0.1739 1.0091 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  3   1136    268 -1.3828 0.9153 0.0234 0.0000 0.0000 0.1739 1.0091 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  4    382    744 -1.3125 0.6102 0.0000 0.0000 0.0000 0.1739 1.0091 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  5   2911   2702 -2.0469 1.0687 0.0859 0.0000 0.0000 0.1739 1.0091 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  6   1045    487 -1.6172 0.9468 0.0078 0.0000 0.0000 0.1739 1.0091 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  7   2098   1144 -2.6641 1.8469 0.3984 0.0000 4.2500 0.1739 1.0091 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  8   1778   2405 -1.9766 1.1097 0.0469 0.0000 0.0000 0.1739 1.0091 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  9   1351   2722 -1.6875 0.7205 0.0234 0.0000 0.0000 0.1739 1.0091 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 10   2653   1957 -1.7812 0.8652 0.0312 0.0000 0.0000 0.1739 1.0091 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 11    235   1620 -2.5156 0.6454 0.1016 0.0000 0.0000 0.1739 1.0091 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 12   1598    910 -2.2891 1.8134 0.2500 0.0000 1.6842 0.1739 1.0091 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 13   2296   2198 -2.0234 0.9365 0.0859 0.0000 0.0000 0.1739 1.0091 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 14    564   1323 -2.2422 0.5157 0.0156 0.0000 0.0000 0.1739 1.0091 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 15    884   2505 -1.9453 0.7608 0.0859 0.0000 0.0000 0.1739 1.0091 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 16    519   1012 -1.9688 0.5817 0.0391 0.0000 0.0000 0.1739 1.0091 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 17   2150   1444 -2.5703 1.3021 0.2031 0.0000 0.0000 0.1739 1.0091 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 18   2794   1827 -1.9688 0.9911 0.0781 0.0000 0.0000 0.1739 1.0091 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 19   1523    165 -2.0078 1.3149 0.0938 0.0000 0.0000 0.1739 1.0091 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 20   2071   1241 -2.6641 1.6264 0.3750 0.0000 2.8235 0.1739 1.0091 0.0007 0.0044 11.0000 0.1115 8.5351 0.3553 9.0019 
 21   2062   1247 -2.3906 1.4053 0.1953 0.0000 1.4706 0.1834 0.9475 0.0010 0.0047 10.0000 0.1604 8.2289 0.2301 8.6193 
 22    564   1892 -2.2734 1.2239 0.0859 0.0000 0.0000 0.1724 0.9049 0.0007 0.0061 10.0000 0.1345 6.4972 0.2936 6.9253 
 23   2199   1189 -2.6875 1.0827 0.2812 0.0000 1.8947 0.1421 0.8250 0.0006 0.0034 14.0000 0.2013 8.2184 0.1557 8.5754 
 24   2230   1192 -2.3438 1.5817 0.2188 0.0000 1.4000 0.1515 0.8100 0.0004 0.0019 14.0000 0.1271 8.8573 0.2153 9.1997 
 25   2016   1103 -2.5703 1.7588 0.3984 0.0000 3.1875 0.1482 0.7995 0.0006 0.0032 15.0000 0.1595 7.7885 0.1768 8.1247 
 26   1856   1349 -2.5781 1.3639 0.2734 0.0000 1.9444 0.1631 0.8274 0.0004 0.0049 11.0000 0.1224 8.0110 0.1782 8.3117 
 27   1661   1442 -2.4609 1.0221 0.2188 0.0000 1.1200 0.1904 0.8897 0.0006 0.0062 9.0000 0.1029 7.9222 0.1745 8.1996 
 28   1962   1465 -2.4844 0.9919 0.1641 0.0000 1.5000 0.2006 0.9163 0.0010 0.0041 14.0000 0.1365 8.6791 0.2121 9.0276 
 29   1076   1745 -2.5547 1.0521 0.2188 0.0000 0.0000 0.2118 0.9629 0.0005 0.0063 10.0000 0.1127 7.2448 0.2786 7.6361 
 30   1232   1538 -2.5078 1.2440 0.3047 0.0000 1.1143 0.2335 1.0479 0.0005 0.0044 11.0000 0.1342 7.2281 0.1501 7.5124 
 31   1299   1792 -2.6484 0.7967 0.2109 0.0000 0.0000 0.2519 1.1258 0.0008 0.0053 11.0000 0.1096 7.9575 0.2263 8.2934 
 32   1222   1846 -2.3594 0.7990 0.1328 0.0000 0.0000 0.2628 1.1846 0.0005 0.0048 14.0000 0.1285 8.2322 0.3158 8.6766 
 33   1464   1656 -2.4609 0.9906 0.2109 0.0000 1.0385 0.2700 1.2227 0.0009 0.0036 13.0000 0.2342 8.1095 0.1718 8.5154 
 34    100   1972 -2.5312 0.8022 0.0781 0.0000 0.0000 0.2832 1.3031 0.0005 0.0044 23.0000 0.2602 5.7832 0.1704 6.2138 
 35    100   2317 -2.5312 0.7549 0.1250 0.0000 0.0000 0.2961 1.3654 0.0005 0.0027 29.0000 0.2843 6.6026 0.3180 7.2049 
 36    100   2745 -2.2891 0.7268 0.0703 0.0000 0.0000 0.3051 1.4090 0.0008 0.0090 24.0000 0.2401 7.7262 0.3200 8.2862 
 37   3000    100 -1.9375 1.9646 0.2188 0.0000 1.3333 0.3058 1.4028 0.0004 0.0004 40.0000 0.4295 8.4422 0.2951 9.1668 
 38    100   1780 -2.1953 0.9616 0.0547 0.0000 0.0000 0.2968 1.3073 0.0002 0.0007 36.0000 0.3692 4.8979 0.2166 5.4836 
 39    964   1598 -2.6562 1.0148 0.2266 0.0000 1.3182 0.2715 1.2268 0.0005 0.0030 18.0000 0.1901 6.9138 0.3193 7.4232 
 40    977   1576 -2.9141 1.1973 0.3672 0.0000 1.6786 0.2852 1.2999 0.0005 0.0085 13.0000 0.1949 6.2972 0.3273 6.8194 
 41   1002   1399 -2.7656 0.9525 0.2344 0.0000 1.2000 0.2636 1.2183 0.0005 0.0014 20.0000 0.2391 5.9991 0.3029 6.5411 
 42   3000   1040 -2.0625 1.2244 0.0781 0.0000 0.0000 0.2718 1.2689 0.0006 0.0027 23.0000 0.2670 10.3470 0.3383 10.9523 
 43   1107   1308 -2.5938 1.2037 0.2578 0.0000 1.1000 0.2717 1.2389 0.0010 0.0030 17.0000 0.2448 6.1627 0.3128 6.7203 
 44    872   1521 -2.5469 0.9112 0.1875 0.0000 0.0000 0.2840 1.2979 0.0010 0.0020 14.0000 0.2293 6.7134 0.3285 7.2712 
 45   2148   3000 -2.0859 0.7878 0.0781 0.0000 0.0000 0.2965 1.3592 0.0005 0.0007 36.0000 0.3706 14.1822 0.2728 14.8257 
 46   1352   1266 -2.4375 1.3504 0.2500 0.0000 1.3913 0.3038 1.3782 0.0003 0.0012 17.0000 0.2310 6.8822 0.3430 7.4562 
 47   2465    863 -2.2656 1.8501 0.2266 0.0000 1.4500 0.3061 1.4133 0.0005 0.0020 16.0000 0.1901 8.5878 0.3016 9.0795 
 48    427   2999 -1.6953 0.8434 0.0781 0.0000 0.0000 0.3176 1.4754 0.0004 0.0005 33.0000 0.3336 8.5114 0.2218 9.0669 
 49    858   1722 -2.8359 0.9886 0.3359 0.0000 1.6538 0.3468 1.6927 0.0005 0.0013 23.0000 0.2310 6.6868 0.5034 7.4212 
 50    853   1714 -2.4609 1.2741 0.1328 0.0000 0.0000 0.3586 1.7406 0.0002 0.0013 22.0000 0.3054 6.6312 0.3539 7.2905 
 51   1055   1512 -2.6484 0.8912 0.2188 0.0000 1.1667 0.3705 1.8297 0.0008 0.0010 24.0000 0.3386 6.6742 0.5301 7.5429 
 52   1839   1790 -2.2109 0.8449 0.0781 0.0000 0.0000 0.3815 1.9060 0.0008 0.0020 17.0000 0.2523 9.8179 0.3316 10.4017 
 53   2498   1338 -2.1562 1.0935 0.0781 0.0000 0.0000 0.3837 1.9467 0.0003 0.0013 17.0000 0.2220 9.6875 0.3624 10.2720 
 54    358   2243 -2.4297 1.4596 0.1719 0.0000 0.0000 0.3725 1.8857 0.0006 0.0017 21.0000 0.3394 7.1429 0.4504 7.9328 
 55    923   1347 -2.3906 1.3580 0.1562 0.0000 0.0000 0.3819 1.9698 0.0009 0.0020 15.0000 0.2180 5.3652 0.3473 5.9304 
 56   2337    100 -1.8594 2.1690 0.2344 0.0000 1.0714 0.3845 1.9904 0.0006 0.0014 29.0000 0.4008 6.7402 0.3536 7.4945 
 57   1764   1176 -2.8125 1.3346 0.4141 0.0000 2.7895 0.3922 1.9661 0.0005 0.0010 18.0000 0.2109 7.7054 0.2846 8.2010 
 58   1779   1168 -2.6797 1.2116 0.3359 0.0000 2.1500 0.3748 1.8731 0.0008 0.0017 18.0000 0.2660 7.4013 0.3991 8.0664 
 59   1637   1224 -2.9219 1.1120 0.4141 0.0000 2.7895 0.3741 1.8848 0.0004 0.0009 18.0000 0.2368 6.9219 0.2430 7.4017 
 60   1634   1221 -2.6172 1.5610 0.3438 0.0000 1.8333 0.3489 1.7390 0.0010 0.0011 16.0000 0.2434 6.3634 0.3252 6.9320 
 61   1827   1118 -2.8516 1.4345 0.4375 0.0000 3.2941 0.3661 1.8438 0.0003 0.0007 18.0000 0.2283 7.3400 0.3353 7.9036 
 62   1828   1114 -2.3984 1.5487 0.2891 0.0000 1.8500 0.3559 1.7903 0.0006 0.0011 17.0000 0.2714 7.5213 0.3160 8.1087 
 63    950   1912 -2.6562 1.0463 0.2578 0.0000 1.2692 0.3800 1.9344 0.0008 0.0010 17.0000 0.2491 7.1321 0.6551 8.0363 
 64   1561   1274 -2.6875 1.8858 0.3984 0.0000 2.0400 0.3823 1.9767 0.0006 0.0011 17.0000 0.2390 6.4320 0.6047 7.2756 
 65   1730   1279 -2.8906 1.2635 0.4141 0.0000 3.3125 0.3868 2.0203 0.0009 0.0010 21.0000 0.2599 6.7375 0.4171 7.4146 
 66   1730   1278 -2.4062 1.4400 0.2656 0.0000 1.7000 0.3782 1.9617 0.0004 0.0009 21.0000 0.2890 7.3156 0.3732 7.9779 
 67    682   1636 -2.7500 1.3543 0.3125 0.0000 2.6667 0.4001 2.1079 0.0007 0.0013 16.0000 0.2324 5.7223 0.3554 6.3102 
 68    709   1642 -2.6719 0.8836 0.2109 0.0000 1.0000 0.4171 2.2279 0.0006 0.0020 14.0000 0.2205 5.9226 0.3772 6.5204 
 69    844   1829 -2.8438 0.9675 0.3047 0.0000 1.7727 0.4197 2.2686 0.0006 0.0010 17.0000 0.2603 6.9086 0.4089 7.5778 
 70    933   1760 -2.5469 1.0529 0.2344 0.0000 1.2500 0.4164 2.2537 0.0001 0.0009 17.0000 0.2439 6.6726 0.2824 7.1990 
 71   1498   1151 -2.7422 1.6259 0.4297 0.0000 3.0556 0.4221 2.3168 0.0006 0.0013 18.0000 0.2568 6.5250 0.3733 7.1551 
 72   1437   1389 -2.5391 1.1953 0.2422 0.0000 1.2917 0.4218 2.3466 0.0008 0.0017 19.0000 0.2443 6.6653 0.3583 7.2679 
 73   1269   1080 -2.5938 0.9990 0.2031 0.0000 1.2381 0.4189 2.3637 0.0008 0.0018 17.0000 0.2310 6.3223 0.5180 7.0713 
 74    100   1357 -2.0469 0.6592 0.0234 0.0000 0.0000 0.4239 2.4649 0.0007 0.0006 39.0000 0.4844 3.6527 0.3508 4.4879 
 75    554   1667 -2.4453 1.0993 0.1250 0.0000 0.0000 0.4391 2.5618 0.0009 0.0014 17.0000 0.2470 5.4416 0.4580 6.1465 
 76   1049   2049 -2.2500 1.0709 0.1562 0.0000 0.0000 0.4371 2.5787 0.0008 0.0017 13.0000 0.2108 7.5584 0.3354 8.1045 
 77   1583   1134 -2.3125 1.6339 0.2578 0.0000 1.2692 0.4323 2.5527 0.0006 0.0009 18.0000 0.2451 6.2235 0.2898 6.7584 
 78   2999    592 -2.1953 1.4340 0.0938 0.0000 0.0000 0.4500 2.6871 0.0004 0.0004 33.0000 0.4066 9.2289 0.4199 10.0554 
 79   1082   1585 -2.4297 1.1289 0.1719 0.0000 0.0000 0.4482 2.6862 0.0002 0.0006 23.0000 0.3293 7.0990 0.4050 7.8333 
 80   2999   2999 -2.1328 0.6043 0.0703 0.0000 0.0000 0.4429 2.6880 0.0005 0.0000 55.0000 0.7833 16.2446 0.4197 17.4476 
 81    100   2191 -2.5625 0.8780 0.1172 0.0000 0.0000 0.4409 2.6291 0.0008 0.0004 41.0000 0.5087 6.3969 0.3839 7.2895 
 82    100   2456 -2.4453 0.7686 0.0938 0.0000 0.0000 0.4409 2.6696 0.0005 0.0004 43.0000 0.6311 6.9789 0.3593 7.9693 
 83    766   1836 -2.5703 0.7824 0.1562 0.0000 0.0000 0.4441 2.7224 0.0006 0.0007 24.0000 0.3205 7.2268 0.3987 7.9461 
 84   1067   1117 -2.4375 1.0984 0.1406 0.0000 1.0000 0.4498 2.7948 0.0007 0.0011 22.0000 0.3489 6.0201 0.5896 6.9587 
 85    100    100 -0.0391 0.0378 0.0000 0.0000 0.0000 0.4535 2.8614 0.0006 0.0000 58.0000 0.8082 0.7149 0.4195 1.9426 
 86    403   2020 -2.6172 0.7106 0.1328 0.0000 0.0000 0.8702 7.9653 0.0009 0.0015 19.0000 0.3122 6.7540 0.3321 7.3984 
 87   1277   1406 -2.5078 0.8346 0.1484 0.0000 0.0000 0.8920 8.3301 0.0002 0.0005 18.0000 0.2657 6.7747 0.3187 7.3591 
 88    786   1555 -2.7656 1.0312 0.2422 0.0000 0.0000 0.8847 8.3234 0.0007 0.0010 17.0000 0.2748 6.2938 0.3567 6.9252 
 89    787   1554 -2.4219 1.1907 0.1094 0.0000 0.0000 0.8788 8.2750 0.0005 0.0012 17.0000 0.2682 6.3272 0.3206 6.9159 
 90    100   2108 -2.5859 0.8115 0.1641 0.0000 0.0000 0.8912 8.5282 0.0002 0.0002 42.0000 0.6160 5.3096 0.6831 6.6087 
 91    505   2116 -2.5625 1.0039 0.2188 0.0000 1.1200 0.8905 8.6073 0.0004 0.0015 22.0000 0.3273 7.1661 0.3810 7.8744 
 92   1972    977 -2.5156 1.4958 0.2500 0.0000 1.5238 0.8958 8.7715 0.0010 0.0012 20.0000 0.3178 7.2482 0.4807 8.0467 
 93    405   1859 -2.6875 0.4685 0.0781 0.0000 0.0000 0.9021 8.9528 0.0007 0.0015 17.0000 0.2647 5.8372 0.4141 6.5160 
 94    685   1850 -2.5938 0.9518 0.1953 0.0000 1.0417 0.9217 9.3079 0.0006 0.0012 17.0000 0.2647 6.7243 0.3710 7.3600 
 95   1777   1399 -2.6797 1.0541 0.2812 0.0000 1.6364 0.9235 9.4167 0.0003 0.0011 18.0000 0.2868 7.8853 0.6522 8.8243 
 96   1566   1442 -2.4922 1.6220 0.2969 0.0000 2.1111 0.9277 9.5394 0.0005 0.0009 20.0000 0.4617 7.7883 0.4554 8.7054 
 97    311   1999 -2.4453 0.9576 0.1250 0.0000 0.0000 0.9196 9.5176 0.0010 0.0017 19.0000 0.3657 5.7586 0.5046 6.6288 
 98   2999   2301 -1.7344 0.7635 0.0391 0.0000 0.0000 0.9204 9.6182 0.0009 0.0005 51.0000 0.6383 13.8613 0.4235 14.9231 
 99   1882   1269 -2.6719 1.3088 0.3516 0.0000 1.8750 0.9324 9.7389 0.0004 0.0007 21.0000 0.3204 7.7620 0.3796 8.4620 
100    392   2385 -2.4219 0.8600 0.1250 0.0000 0.0000 0.9317 9.7891 0.0003 0.0008 20.0000 0.2797 7.3060 0.5166 8.1023 
101   1380   1022 -2.4688 1.6841 0.2812 0.0000 1.8947 0.9374 9.9830 0.0007 0.0017 15.0000 0.2739 6.3651 0.3392 6.9782 
102   2130   1611 -1.9688 1.0541 0.0469 0.0000 0.0000 0.9404 10.1299 0.0009 0.0011 17.0000 0.2626 9.7497 0.4550 10.4673 
103   2595    582 -2.3359 1.9414 0.2734 0.0000 2.0588 0.8805 9.2180 0.0001 0.0007 23.0000 0.4115 9.1799 0.5498 10.1412 
104   2172    920 -2.2734 1.6805 0.2500 0.0000 1.1034 0.8919 9.6133 0.0008 0.0010 20.0000 0.3921 7.9505 0.4027 8.7453 
105    471   1687 -2.4922 1.0551 0.1484 0.0000 1.2667 0.8756 9.4372 0.0006 0.0010 19.0000 0.2946 5.9517 0.9017 7.1481 
106   1861   1224 -2.3438 1.6604 0.2500 0.0000 1.6842 0.8755 9.5203 0.0009 0.0009 17.0000 0.2612 7.5994 0.4442 8.3048 
107    743   1951 -2.5156 1.1021 0.2109 0.0000 1.6875 0.9079 10.1083 0.0005 0.0009 19.0000 0.2896 6.8988 0.5896 7.7781 
108   2380   2651 -2.2344 1.0785 0.1094 0.0000 0.0000 0.9101 10.2327 0.0006 0.0009 17.0000 0.3106 13.1006 0.6056 14.0168 
109    959   1668 -2.7734 0.9798 0.2969 0.0000 1.4615 0.9054 10.2876 0.0006 0.0010 18.0000 0.2653 6.7211 0.4962 7.4827 
