  0    191    651   2117   1600 -1.8672 0.7932 0.0391 0.0000 0.0000 0.2391 0.9227 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  1   1193   1406    846    703 -1.7578 1.6023 0.0938 0.0000 0.0000 0.2391 0.9227 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  2   1832   2194   1316   1397 -2.0078 0.9212 0.0781 0.0000 0.0000 0.2391 0.9227 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  3   1335   1937   2968   1434 -1.9141 0.9296 0.0469 0.0000 0.0000 0.2391 0.9227 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  4    328   2550   1206   1127 -1.6250 0.8346 0.0156 0.0000 0.0000 0.2391 0.9227 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  5   2943   1087    235   1040 -1.7188 1.0699 0.0156 0.0000 0.0000 0.2391 0.9227 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  6    873   1780    556    458 -2.0938 0.6998 0.0469 0.0000 0.0000 0.2391 0.9227 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  7    419   2918   2624    620 -2.1094 0.7124 0.0781 0.0000 0.0000 0.2391 0.9227 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  8   2549    432    265   2314 -2.9766 1.3459 0.4531 0.0000 4.8333 0.2391 0.9227 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  9    619   2842   2828   2195 -2.2422 1.1929 0.1250 0.0000 0.0000 0.2391 0.9227 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 10    729    241   2428   2461 -1.6641 0.9178 0.0469 0.0000 0.0000 0.2391 0.9227 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 11   1445   2276   1024    173 -1.8672 1.0137 0.0547 0.0000 0.0000 0.2391 0.9227 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 12   1082   1160   1738   2861 -1.5312 1.3376 0.0469 0.0000 0.0000 0.2391 0.9227 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 13   1849    753    411   2716 -2.2734 1.2711 0.1641 0.0000 1.4000 0.2391 0.9227 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 14   1634    302   1463   1770 -1.9453 1.7371 0.1406 0.0000 1.1250 0.2391 0.9227 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 15   2786   1372   2247   2085 -1.8047 0.7411 0.0312 0.0000 0.0000 0.2391 0.9227 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 16   2624    874   1866    348 -1.6250 1.2913 0.0781 0.0000 0.0000 0.2391 0.9227 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 17   2200   2644   2395   1842 -2.2109 1.0181 0.1172 0.0000 1.0714 0.2391 0.9227 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 18   2371   1594   1594   2598 -2.1484 0.9305 0.1016 0.0000 1.0000 0.2391 0.9227 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 19   2009   1992    778    873 -1.7578 0.9094 0.0234 0.0000 0.0000 0.2391 0.9227 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 20   2558    404    254   2369 -2.8047 1.5127 0.4219 0.0000 6.7500 0.2391 0.9227 0.0006 0.0047 23.0000 0.5429 0.4526 0.2580 1.2536 
 21   2488    361    162   2205 -2.7188 1.8573 0.4062 0.0000 4.7273 0.2631 0.7011 0.0005 0.0085 22.0000 0.5125 0.4425 0.3133 1.2683 
 22   2759    428    293   2499 -2.9219 1.3797 0.4141 0.0000 5.8889 0.3027 0.6297 0.0007 0.0085 21.0000 0.4662 0.4646 0.2644 1.1953 
 23   2797    285    188   2583 -2.9297 1.4675 0.4531 0.0000 6.4444 0.3802 0.6186 0.0008 0.0093 22.0000 0.5027 0.4749 0.2174 1.1951 
 24   2845    241    123   2630 -3.0625 1.1457 0.4453 0.0000 4.3846 0.4406 0.6122 0.0004 0.0096 32.0000 0.6292 0.4753 0.3182 1.4228 
 25   2968    100    100   2762 -3.0078 1.2519 0.4609 0.0000 4.9167 0.5144 0.6334 0.0009 0.0080 37.0000 0.8214 0.4722 0.2520 1.5456 
 26   3000    100    100   2828 -2.8516 1.4187 0.3906 0.0000 4.1667 0.5644 0.6369 0.0010 0.0059 49.0000 1.0986 0.4279 0.2330 1.7595 
 27   3000    470    100   2834 -2.8594 1.3029 0.3750 0.0000 3.6923 0.5585 0.6023 0.0009 0.0050 53.0000 1.0658 0.4533 0.2009 1.7200 
 28   3000    100    100   2479 -3.1641 1.2248 0.5469 0.0000 8.7500 0.5800 0.6007 0.0009 0.0023 67.0000 1.3487 0.4452 0.2438 2.0377 
 29   3000    100    100   2343 -3.1328 1.3602 0.5469 0.0000 8.7500 0.6123 0.6121 0.0007 0.0013 76.0000 1.3704 0.4221 0.2628 2.0553 
 30   3000    100    100   2340 -2.8359 1.5555 0.4453 0.0000 7.1250 0.6316 0.6208 0.0007 0.0017 82.0000 1.4724 0.4110 0.3513 2.2347 
 31   3000    100    557   2717 -2.7422 1.2480 0.3203 0.0000 2.7333 0.6591 0.6257 0.0008 0.0053 60.0000 1.1731 0.5053 0.2347 1.9132 
 32   2576    100    100   3000 -2.8594 1.1297 0.3438 0.0000 3.1429 0.6701 0.6352 0.0008 0.0035 68.0000 1.5073 0.5373 0.2396 2.2842 
 33   3000   1046    100   3000 -2.2891 1.2307 0.1719 0.0000 2.2000 0.6942 0.6515 0.0009 0.0067 79.0000 1.5052 0.4114 0.2465 2.1631 
 34   2655    100    100   2474 -3.1719 1.1986 0.5391 0.0000 9.8571 0.6370 0.6416 0.0009 0.0035 70.0000 1.4235 0.4081 0.2428 2.0743 
 35   3000   3000   3000   3000 -1.8047 0.9930 0.0312 0.0000 0.0000 0.6557 0.6604 0.0010 0.0003 84.0000 1.7081 0.7542 0.2369 2.6993 
 36   2633    100    100   2474 -3.0781 1.2222 0.4766 0.0000 6.7778 0.6567 0.6655 0.0010 0.0025 66.0000 1.3667 0.4510 0.2730 2.0907 
