  0    771   2101 -2.2891 0.7898 0.0781 0.0000 0.0000 0.3465 1.7856 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  1   2552   2905 -2.0703 0.6486 0.0234 0.0000 0.0000 0.3465 1.7856 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  2   1918    536 -2.3203 1.3060 0.2109 0.0000 1.4211 0.3465 1.7856 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  3   1136    268 -1.1797 1.1722 0.0078 0.0000 0.0000 0.3465 1.7856 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  4    382    744 -1.2578 0.6968 0.0000 0.0000 0.0000 0.3465 1.7856 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  5   2911   2702 -2.2109 1.2071 0.1172 0.0000 0.0000 0.3465 1.7856 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  6   1045    487 -1.5859 1.3469 0.0469 0.0000 0.0000 0.3465 1.7856 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  7   2098   1144 -2.4297 0.8769 0.1719 0.0000 1.2222 0.3465 1.7856 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  8   1778   2405 -1.9766 0.8262 0.0000 0.0000 0.0000 0.3465 1.7856 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  9   1351   2722 -1.6797 0.7076 0.0000 0.0000 0.0000 0.3465 1.7856 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 10   2653   1957 -1.7266 0.7042 0.0156 0.0000 0.0000 0.3465 1.7856 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 11    235   1620 -2.3281 0.8836 0.0938 0.0000 0.0000 0.3465 1.7856 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 12   1598    910 -2.4766 1.1491 0.2031 0.0000 1.6250 0.3465 1.7856 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 13   2296   2198 -1.8672 0.9665 0.0625 0.0000 0.0000 0.3465 1.7856 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
