  0   1351   2681   1102    295   2063    101 -2.1719 0.8679 0.1016 0.0000 1.0833 0.0100 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  1    991    558    962   1614    591    382 -1.6016 1.1550 0.0312 0.0000 0.0000 0.0100 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  2   2205    487   1663   2014   2648    810 -1.3594 1.0509 0.0000 0.0000 0.0000 0.0100 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  3   1931   2142   2943   1087   1830   2200 -2.0625 0.8622 0.0156 0.0000 0.0000 0.0100 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  4   1163   1780    121   1183   1869   1468 -1.6016 1.1392 0.0469 0.0000 0.0000 0.0100 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  5   1464   1200   1389   2752    990    574 -1.4766 0.8183 0.0000 0.0000 0.0000 0.0100 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  6    764   1102   1958    600   2179   1401 -1.9766 1.0309 0.0859 0.0000 0.0000 0.0100 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  7    398   1446   1445   2276   2329   2493 -1.7578 0.8621 0.0156 0.0000 0.0000 0.0100 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  8   2387    145   1158   2571    834   1768 -1.9062 1.0935 0.0781 0.0000 0.0000 0.0100 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  9   2586   2281    474    737   1463   2350 -1.9688 0.7392 0.0156 0.0000 0.0000 0.0100 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 10   1626   2097   2827    925    304   2614 -1.8203 0.7312 0.0312 0.0000 0.0000 0.0100 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
