  0   1443   2652   1524   1360 -1.8906 0.8541 0.0312 0.1749 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  1    256   1263   1883    147 -2.2266 1.2317 0.1094 0.2118 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  2    665   1678   1663   1245 -1.5547 0.8474 0.0000 0.1011 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  3   1701    584   2357    448 -1.7734 0.4916 0.0000 0.0216 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  4   1137   2390    572   1864 -1.5781 0.9702 0.0625 0.1568 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  5   2597   2075   1240   2271 -2.0000 0.9764 0.0391 0.1682 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  6   1936    850   2463   2847 -1.5547 1.3986 0.0703 0.0033 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  7   2188   2836    798    850 -1.7578 0.6889 0.0547 0.1544 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  8    938   1055    141   1629 -2.2891 1.4512 0.2656 0.0380 1.6190 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  9   2878    364   2946   2550 -1.1016 0.6589 0.0078 0.0371 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 10    488    243    100    604 -1.7031 0.8246 0.0312 0.0781 0.0000 1.0000 1.0000 0.0001 0.0089 36.0000 39.4629 0.0492 0.0019 39.5139 
 11   1195    830    100   1939 -2.0859 1.6697 0.2344 0.0718 1.6667 0.8817 3.5546 0.0003 0.0092 31.0000 34.3040 0.0916 0.0018 34.3975 
 12    100   1302   2318    100 -2.4453 1.0993 0.1484 0.1856 0.0000 1.0282 7.3573 0.0003 0.0085 48.0000 53.1569 0.0971 0.0025 53.2564 
 13    100   1332   2661    100 -1.9844 0.8816 0.0312 0.1800 0.0000 0.7992 5.5546 0.0007 0.0090 42.0000 44.5342 0.0795 0.0016 44.6153 
 14    100    630    100   2705 -1.5547 1.2411 0.0703 0.0038 0.0000 1.2047 8.9472 0.0001 0.0096 51.0000 55.3257 0.0811 0.0017 55.4086 
 15    100   1279   2198    100 -2.1953 1.2450 0.1094 0.1943 0.0000 0.3400 4.3218 0.0009 0.0051 48.0000 53.3269 0.0839 0.0020 53.4128 
 16   1411   1116    100   1243 -2.3125 1.6969 0.3047 0.0243 2.6000 0.5698 3.1502 0.0007 0.0089 34.0000 38.1050 0.0879 0.0021 38.1950 
 17   1952   1021    100   1186 -1.9609 1.8646 0.1406 0.0112 0.0000 0.5791 4.4042 0.0002 0.0092 35.0000 39.2873 0.1131 0.0020 39.4025 
 18   1045   1221    100   1220 -2.1562 1.1565 0.1797 0.0096 0.0000 0.5544 5.9886 0.0007 0.0078 39.0000 43.7989 0.0827 0.0016 43.8832 
 19    100   1788   1998    100 -2.0703 0.6486 0.0078 0.3085 0.0000 0.8145 9.3002 0.0008 0.0100 63.0000 68.3690 0.0935 0.0018 68.4643 
 20    138   1345   2347    107 -2.0234 0.9365 0.0078 0.1890 0.0000 0.1396 1.9148 0.0009 0.0051 31.0000 33.7454 0.0759 0.0015 33.8228 
 21   3000   3000   1619   3000 -1.4688 1.0069 0.0547 0.0754 0.0000 0.7170 5.4819 0.0002 0.0093 49.0000 52.8882 0.3364 0.0018 53.2264 
 22    100    572   1981    100 -2.3516 2.1353 0.3438 0.0944 2.7500 0.9646 6.6415 0.0006 0.0097 50.0000 54.7821 0.0740 0.0019 54.8580 
 23    100    835   2059    100 -2.3906 1.7675 0.3047 0.1304 2.4375 0.2974 0.7117 0.0010 0.0046 49.0000 52.9647 0.0643 0.0018 53.0308 
 24    100    199   2243    100 -2.0781 2.1671 0.2969 0.0505 1.9000 0.8698 4.2447 0.0007 0.0075 60.0000 63.2518 0.0647 0.0016 63.3181 
 25   3000    858    100   3000 -2.3438 1.4400 0.2266 0.0456 2.0714 1.1819 3.5645 0.0010 0.0087 49.0000 54.2343 0.1431 0.0018 54.3792 
 26   3000    283    100   3000 -3.0938 1.3455 0.5156 0.0811 6.6000 1.0585 5.6342 0.0008 0.0026 79.0000 85.6707 0.1485 0.0026 85.8218 
 27   3000    100    100   3000 -2.9609 1.0772 0.3906 0.0826 3.3333 0.6448 4.2876 0.0002 0.0006 91.0000 98.6131 0.1345 0.0019 98.7495 
 28   3000    100    100   2821 -3.1328 1.4074 0.5625 0.1181 5.1429 0.5165 3.6358 0.0006 0.0026 71.0000 77.1182 0.1395 0.0024 77.2601 
 29   3000    100    100   2677 -3.2656 1.2360 0.6250 0.1419 8.0000 1.2041 6.2186 0.0008 0.0031 64.0000 69.9107 0.1063 0.0018 70.0187 
 30   3000    100    100   2439 -3.3516 1.2219 0.7188 0.1579 9.2000 1.0336 4.9511 0.0010 0.0037 66.0000 71.4864 0.1281 0.0026 71.6171 
 31   3000    100    100   2306 -3.3203 1.3690 0.7188 0.1521 15.3333 0.9659 4.4868 0.0009 0.0032 66.0000 72.9483 0.1292 0.0021 73.0797 
 32   3000    100    100   2121 -3.2422 1.5708 0.6875 0.1300 17.6000 1.9095 7.0778 0.0009 0.0035 74.0000 80.8774 0.1147 0.0018 80.9940 
 33   3000    100    100   2175 -3.3047 1.3159 0.6875 0.1376 14.6667 1.9098 10.2394 0.0008 0.0040 73.0000 80.5407 0.1401 0.0022 80.6830 
