  0    191    651   2117   1600 -1.8672 0.8562 0.0547 0.2232 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  1   1193   1406    846    703 -1.7188 1.6841 0.1016 0.0699 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  2   1832   2194   1316   1397 -1.9922 1.0157 0.0938 0.0982 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  3   1335   1937   2968   1434 -2.0625 0.8937 0.0312 0.1141 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  4    328   2550   1206   1127 -1.6016 0.5723 0.0000 0.1530 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  5   2943   1087    235   1040 -1.7812 1.1014 0.0078 0.0160 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  6    873   1780    556    458 -1.9766 0.9050 0.0781 0.1651 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  7    419   2918   2624    620 -2.1406 0.6100 0.1172 0.1620 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  8   2549    432    265   2314 -3.0156 1.9368 0.6172 0.1279 9.8750 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  9    619   2842   2828   2195 -2.3359 1.1225 0.1328 0.1621 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 10    729    241   2428   2461 -1.9062 0.7628 0.0547 0.0068 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 11   1445   2276   1024    173 -1.9219 1.0175 0.0703 0.3684 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 12   1082   1160   1738   2861 -1.5078 1.5590 0.0469 0.0121 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 13   1849    753    411   2716 -2.3438 1.6604 0.1953 0.0562 1.6667 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 14   1634    302   1463   1770 -1.8672 1.7381 0.1641 0.0162 1.4000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 15   2786   1372   2247   2085 -1.9609 0.9197 0.0938 0.1097 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 16   2624    874   1866    348 -1.8438 1.1565 0.0859 0.0352 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 17   2200   2644   2395   1842 -2.6172 1.1673 0.2656 0.1401 1.7895 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 18   2371   1594   1594   2598 -2.1328 0.6673 0.1094 0.1135 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 19   2009   1992    778    873 -1.5469 0.8167 0.0078 0.1797 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 20   3000    100    100   3000 -3.1406 1.1297 0.4922 0.0826 3.5000 1.0000 1.0000 0.0010 0.0007 78.0000 63.9314 0.1927 0.0023 64.1264 
 21   3000   3000   3000   2739 -2.0547 1.1072 0.0000 0.0326 0.0000 1.1233 6.7435 0.0004 0.0096 46.0000 38.5771 0.3458 0.0028 38.9257 
