  0   1351   2681   1102    295   2063    101 -2.0000 0.6772 0.0000 0.2274 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  1    991    558    962   1614    591    382 -1.6641 1.3115 0.0625 0.0229 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  2   2205    487   1663   2014   2648    810 -1.2969 0.7301 0.0078 0.0026 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  3   1931   2142   2943   1087   1830   2200 -1.7344 0.9998 0.0391 0.0916 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  4   1163   1780    121   1183   1869   1468 -2.0938 0.9833 0.0625 0.0129 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  5   1464   1200   1389   2752    990    574 -1.9062 1.8967 0.1328 0.0032 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  6    764   1102   1958    600   2179   1401 -2.1484 1.0250 0.0391 0.0481 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  7    398   1446   1445   2276   2329   2493 -1.7344 1.0942 0.0547 0.0450 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  8   2387    145   1158   2571    834   1768 -1.5156 0.9604 0.0547 0.0397 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  9   2586   2281    474    737   1463   2350 -2.1016 1.1628 0.0625 0.3638 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 10   1626   2097   2827    925    304   2614 -2.1484 1.3557 0.1875 0.2401 1.8462 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 11    561   2523   2490   1484   1380   2712 -2.2109 1.3489 0.1797 0.1665 1.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 12    921   1884    289   2888   2879   1992 -1.8828 0.7972 0.0547 0.0859 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 13   2518   2758   1794   1941   2740    426 -1.7422 1.6259 0.0625 0.1199 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 14   2893   1387   2279   2183   1192   1852 -1.7812 1.3219 0.0859 0.0103 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 15   2838    926   2254    197    710    948 -1.8281 1.3246 0.0625 0.0838 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 16    134    303   2662   2441    238   1224 -1.6406 0.8147 0.0469 0.0079 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 17   1767   1636    624   1260   2485   1599 -1.7734 1.3735 0.0000 0.1305 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 18   2063   2971    809    425    430    971 -1.4219 1.2694 0.0312 0.0508 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 19    353    767   2075   1756   1688   2884 -2.3203 1.3690 0.1250 0.2271 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 20    100    937   1605    100    945   3000 -2.0547 0.4301 0.0156 0.0136 0.0000 1.0000 1.0000 0.0000 0.0099 89.0000 108.7318 0.2092 0.0024 108.9434 
 21    100   2940    100    100   3000   3000 -2.2969 0.8246 0.0391 0.0873 0.0000 1.9934 4.1647 0.0005 0.0098 86.0000 105.5757 0.2767 0.0028 105.8552 
 22    100   2791    100    100   3000    225 -2.2578 0.8858 0.1641 0.1673 0.0000 1.8429 9.7889 0.0000 0.0100 98.0000 121.3905 0.1977 0.0025 121.5907 
 23    347    908   2184   1476   1542   2911 -1.9453 1.3592 0.0391 0.2541 0.0000 0.2851 0.1964 0.0005 0.0097 31.0000 39.6106 0.2824 0.0026 39.8956 
 24    575   3000   2691   2634    130   3000 -1.2969 0.7773 0.0156 0.0104 0.0000 1.6496 9.3831 0.0000 0.0099 67.0000 82.7971 0.3565 0.0025 83.1561 
 25    100   2159   2355    100   1981   2737 -2.3438 1.1250 0.1562 0.3579 0.0000 1.6900 7.3343 0.0000 0.0092 67.0000 83.0557 0.2824 0.0030 83.3411 
 26    100   2150   2507    100   1956   2842 -2.2656 1.1415 0.1016 0.3758 0.0000 1.7312 8.1373 0.0000 0.0098 69.0000 85.7150 0.2985 0.0028 86.0163 
 27    100   2914   1801    100   1923   2244 -2.3750 1.2126 0.1953 0.1231 1.3158 0.8385 8.7901 0.0000 0.0095 58.0000 72.7073 0.2721 0.0026 72.9820 
 28    100   2619   1579    100   2149   2325 -2.4922 0.8661 0.1719 0.1117 0.0000 0.6473 0.8811 0.0001 0.0098 54.0000 66.8736 0.2669 0.0025 67.1430 
 29    109   2442   1575    100   2196   2402 -2.3125 1.3031 0.1719 0.1094 1.0476 0.3810 5.8744 0.0001 0.0088 38.0000 47.6779 0.2647 0.0028 47.9454 
 30    100   3000   1730    100   2746   1337 -2.6250 0.7087 0.1875 0.1095 1.5000 1.4360 7.3662 0.0001 0.0096 78.0000 96.6826 0.2708 0.0025 96.9559 
 31    100   3000   1788    100   2920   1292 -2.6562 0.8888 0.2422 0.1306 1.9375 0.7597 8.6412 0.0002 0.0099 61.0000 75.4744 0.2740 0.0029 75.7514 
 32    100   3000   2471    100   3000   1070 -2.6250 0.8976 0.2656 0.1007 1.4167 1.3043 1.2548 0.0006 0.0099 93.0000 117.3015 0.4568 0.0049 117.7632 
 33    100   3000   2570    100   3000   1202 -2.6953 1.0324 0.3281 0.0843 1.6154 1.1935 0.6928 0.0010 0.0094 98.0000 125.1790 0.2930 0.0029 125.4750 
 34    100   3000   2375    100   3000    785 -2.6094 0.9013 0.2188 0.1381 1.7500 1.1338 5.0475 0.0004 0.0092 93.0000 114.7691 0.2867 0.0031 115.0589 
 35    100   3000   2325    100   3000   1514 -2.7266 1.0349 0.3203 0.0701 2.5625 1.1972 9.2976 0.0007 0.0094 89.0000 110.6118 0.2963 0.0026 110.9107 
 36    100   3000   2475    100   3000   1709 -2.6016 1.1550 0.3047 0.0613 1.9500 1.2528 7.7130 0.0005 0.0099 102.0000 125.9639 0.3051 0.0027 126.2717 
 37    100   3000   3000    100   3000    439 -2.4531 1.5096 0.2891 0.1578 1.8500 1.5459 4.3784 0.0010 0.0095 113.0000 137.7573 0.2877 0.0028 138.0478 
 38    100   3000   3000    100   3000   2426 -2.0156 1.2911 0.0156 0.0114 0.0000 1.9883 1.7666 0.0010 0.0083 158.0000 193.0719 0.3463 0.0027 193.4209 
 39    100   2982   2229    100   2949   1412 -2.6172 1.0255 0.2578 0.0838 1.9412 0.2618 4.8492 0.0003 0.0088 47.0000 58.3540 0.2894 0.0029 58.6463 
 40    100   2616   2093    100   3000   1150 -2.5938 0.7470 0.1641 0.2166 0.0000 1.1303 9.7980 0.0006 0.0095 61.0000 75.2316 0.2683 0.0025 75.5024 
 41    100   3000   2440    241   3000   1372 -2.6250 1.0551 0.2891 0.0451 1.5417 0.3024 3.8407 0.0006 0.0093 61.0000 75.9826 0.2964 0.0026 76.2816 
