  0    916   2971   1827    150   1773   2566   1716   2153   1832    309 -2.2500 0.6772 0.0000 0.0055 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  1   1751    237   1915    777    648   1724   1343   1535   2511   2142 -1.4609 0.9276 0.0469 0.0063 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  2   2508    362    670    460   1018   2070   1861    168   2884    163 -1.4766 1.0073 0.0078 0.0158 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  3   2189   2070   1534   1157   1860   1299   1199   1682    798   2630 -1.9219 1.1120 0.0547 0.1256 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  4   2614   1256    833   2026    865   2276   2329   1768   2677    435 -1.4375 1.7598 0.1328 0.0582 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  5   1158   2571   2139   1478   1281    396   1489    302   1898   2785 -1.8750 1.8268 0.0938 0.2249 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  6   2061   1807    797   1070   2189   2759    706    638   2345   2934 -2.0000 1.2126 0.0938 0.1222 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  7   2395    827   2371   1304   1449    568   2879    832   1068   1308 -2.5859 1.3154 0.3203 0.0530 2.0500 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  8    199   2231    275   1731    283   1242    974   1313   2207    837 -1.9688 1.1329 0.0859 0.1446 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  9   1098    781    224   2517    130   2543    859   2768    197    701 -1.5000 1.1339 0.0781 0.0071 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 10   1398   1514   1187    331   2799   1550   2630   2614    323   1231 -1.7109 1.4197 0.0703 0.0074 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 11   2984   2455   2460    826   1658   1492   2220   1176   1543   2014 -1.4297 0.8454 0.0547 0.2202 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 12    573   1391   2026   1935    472   1955    145    741   1691   1963 -1.9219 1.0805 0.1172 0.1700 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 13   1878    515    467   1597   2540    317    329   2399   1145   1538 -1.5781 1.6631 0.0391 0.1565 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 14    415    632   1642    647   2586   2855   2827    443    963   2362 -1.8438 1.0935 0.0703 0.1664 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 15    358   1603   2970   2911    685    788   2111    990   1397   1732 -2.2969 0.6671 0.1172 0.2354 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 16   1565   1095   2635   2133   2108   2154    582   1974   2105   1561 -1.9062 0.7313 0.0781 0.0705 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 17   1540   2368   1109   2817   2388    855   1683   2983   2776   1086 -1.8359 0.9099 0.0703 0.1008 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 18   2779   2847   1377   2370   2895    994    507   2491    410   2487 -1.9844 1.0234 0.0156 0.1840 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 19    710   1861   2807   2621   1182    215   2460   2003    674    541 -2.3281 1.1356 0.1328 0.0876 1.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 20   1974    592   2829   1796   1405    100   3000    531    578   1026 -2.1016 1.5250 0.1250 0.1038 0.0000 1.0000 1.0000 0.0000 0.0099 70.0000 153.4537 0.4852 0.0026 153.9415 
 21    100   3000   2407   1639   2841   3000    234   1324   1479    100 -2.0078 0.9527 0.0547 0.0643 0.0000 1.9474 6.5601 0.0000 0.0099 150.0000 328.6453 0.5584 0.0031 329.2067 
 22   2455    760   2225   1221   1448    495   3000    919   1117   1344 -2.6016 1.2022 0.3125 0.0613 1.5385 0.7460 9.6711 0.0001 0.0097 67.0000 147.3489 0.4515 0.0026 147.8030 
 23   2525    687   2120   1164   1443    392   3000    956   1138   1374 -2.8359 1.0516 0.3438 0.1178 2.5882 0.8959 9.8106 0.0001 0.0095 59.0000 132.8782 0.4575 0.0035 133.3391 
 24   2944    291   1680    939   1417    100   3000   1024   1131   1571 -2.5391 1.2111 0.2031 0.1972 1.4444 1.1964 8.5197 0.0000 0.0096 81.0000 179.7462 0.4957 0.0027 180.2446 
 25   2241    811   2014   1036   1393    100   3000   1229   1412   1219 -2.1484 1.2770 0.1094 0.1104 0.0000 1.0902 9.3814 0.0001 0.0099 88.0000 196.2659 0.5133 0.0033 196.7825 
 26   3000    100   1923   1439   1584    566   3000    448    514   2061 -2.6875 1.6811 0.3672 0.1745 3.3571 1.0741 1.6620 0.0001 0.0094 107.0000 222.7970 0.4825 0.0033 223.2828 
 27   3000    100   1782   2801   1706    100   3000    100    100   3000 -1.3516 1.0959 0.0000 0.0259 0.0000 1.9301 1.4898 0.0001 0.0099 215.0000 448.8028 0.4230 0.0037 449.2295 
 28   3000    227   2147    948   1516    791   3000    612    682   1514 -2.6719 1.4348 0.3750 0.0895 3.6923 0.8980 3.0984 0.0001 0.0094 77.0000 160.9976 0.3886 0.0023 161.3886 
 29    100   3000   3000   3000    100   1198   3000   2967   1057    100 -1.8750 0.7087 0.0625 0.0196 0.0000 1.4214 2.2379 0.0001 0.0100 226.0000 453.2735 0.4478 0.0030 453.7244 
 30    100   3000   3000   3000   1305    100    270   1897    311   1115 -1.4844 1.2596 0.0234 0.0259 0.0000 1.1489 2.8399 0.0000 0.0096 147.0000 263.6142 0.3811 0.0030 263.9982 
 31    100   2272   1954   2401   1447   1503   3000    585   1357    408 -2.1016 1.5408 0.1484 0.2291 1.2667 1.5271 7.8633 0.0000 0.0096 90.0000 162.6654 0.4457 0.0022 163.1132 
