  0   1351   2681   1102    295   2063    101 -1.8125 0.5787 0.0000 0.0000 0.0000 0.4133 0.9210 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  1    991    558    962   1614    591    382 -1.2969 1.1080 0.0312 0.0000 0.0000 0.4133 0.9210 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  2   2205    487   1663   2014   2648    810 -1.2969 0.6671 0.0000 0.0000 0.0000 0.4133 0.9210 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  3   1931   2142   2943   1087   1830   2200 -1.4922 0.7716 0.0000 0.0000 0.0000 0.4133 0.9210 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  4   1163   1780    121   1183   1869   1468 -1.9609 0.9670 0.0703 0.0000 0.0000 0.4133 0.9210 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  5   1464   1200   1389   2752    990    574 -1.3125 1.4291 0.0469 0.0000 0.0000 0.4133 0.9210 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  6    764   1102   1958    600   2179   1401 -2.0625 0.9567 0.0547 0.0000 0.0000 0.4133 0.9210 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  7    398   1446   1445   2276   2329   2493 -1.6328 1.0846 0.0625 0.0000 0.0000 0.4133 0.9210 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  8   2387    145   1158   2571    834   1768 -1.3047 0.9222 0.0312 0.0000 0.0000 0.4133 0.9210 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  9   2586   2281    474    737   1463   2350 -1.9062 1.0620 0.0156 0.0000 0.0000 0.4133 0.9210 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 10   1626   2097   2827    925    304   2614 -1.7734 1.4207 0.1172 0.0000 0.0000 0.4133 0.9210 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 11    561   2523   2490   1484   1380   2712 -1.7734 1.1057 0.0312 0.0000 0.0000 0.4133 0.9210 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 12    921   1884    289   2888   2879   1992 -1.6719 0.9624 0.0312 0.0000 0.0000 0.4133 0.9210 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 13   2518   2758   1794   1941   2740    426 -1.7344 1.4092 0.0391 0.0000 0.0000 0.4133 0.9210 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 14   2893   1387   2279   2183   1192   1852 -1.7812 0.6919 0.0312 0.0000 0.0000 0.4133 0.9210 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 15   2838    926   2254    197    710    948 -1.8906 1.3580 0.0625 0.0000 0.0000 0.4133 0.9210 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 16    134    303   2662   2441    238   1224 -1.4453 0.9104 0.0391 0.0000 0.0000 0.4133 0.9210 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 17   1767   1636    624   1260   2485   1599 -1.7109 1.0103 0.0000 0.0000 0.0000 0.4133 0.9210 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 18   2063   2971    809    425    430    971 -1.6406 1.5706 0.1016 0.0000 0.0000 0.4133 0.9210 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 19    353    767   2075   1756   1688   2884 -1.8438 1.5187 0.1094 0.0000 0.0000 0.4133 0.9210 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 20    665   1172   1873    434   2154   1483 -1.9453 0.8710 0.0391 0.0000 0.0000 0.4133 0.9210 0.0003 0.0097 28.0000 0.7425 18.5682 0.1513 19.4620 
 21    686    986   2190    570   2279   1341 -1.9531 0.6907 0.0156 0.0000 0.0000 0.3984 0.8599 0.0002 0.0100 36.0000 1.0613 18.7230 0.1324 19.9167 
 22    950   1958    306    556   1852   1745 -1.8047 0.9301 0.0000 0.0000 0.0000 0.4329 0.8447 0.0001 0.0089 38.0000 0.9830 17.0112 0.1525 18.1467 
 23    976   1210   1909    340   2142   1155 -1.8125 1.5079 0.0312 0.0000 0.0000 0.4069 0.8309 0.0001 0.0096 52.0000 1.4045 18.3015 0.1278 19.8338 
 24    518   1013   1964    743   2193   1709 -2.1484 0.6628 0.0391 0.0000 0.0000 0.3926 0.8447 0.0003 0.0093 32.0000 0.8377 18.8914 0.1488 19.8778 
 25    381    950   1963    762   2207   1868 -1.6641 0.5398 0.0000 0.0000 0.0000 0.4109 0.8360 0.0005 0.0100 31.0000 0.8126 21.2910 0.2252 22.3288 
 26    581   1037   1968    721   2189   1629 -1.8281 0.8049 0.0156 0.0000 0.0000 0.1095 0.8704 0.0010 0.0069 38.0000 1.3109 27.6897 0.2537 29.2543 
 27    732   1112   1954    548   2180   1415 -1.9531 1.3206 0.0625 0.0000 0.0000 0.0423 0.9011 0.0003 0.0021 41.0000 1.4302 27.2473 0.2462 28.9237 
 28    509   1011   1962    748   2192   1721 -1.9844 0.7084 0.0703 0.0000 0.0000 0.0453 0.8804 0.0009 0.0022 42.0000 1.4513 28.9807 0.2084 30.6404 
 29    770   1070   2014    619   2201   1372 -2.1328 1.1555 0.0938 0.0000 0.0000 0.0486 0.8500 0.0009 0.0038 33.0000 1.1869 28.9212 0.3118 30.4199 
 30    785   1065   2023    626   2205   1355 -1.9531 0.8639 0.0234 0.0000 0.0000 0.0593 0.8309 0.0009 0.0034 46.0000 1.6060 27.7284 0.2516 29.5860 
 31    739   1071   2007    619   2196   1405 -1.9453 1.4064 0.0781 0.0000 0.0000 0.0474 0.8247 0.0009 0.0019 40.0000 1.3960 28.6309 0.2406 30.2675 
 32   2431   2298    428    713   1386   2293 -2.0391 0.7150 0.0000 0.0000 0.0000 0.0552 0.8312 0.0000 0.0814 300.0000 10.5806 32.7243 0.2483 43.5532 
 33   1110   1821    158   1041   1860   1529 -1.7578 1.3661 0.0547 0.0000 0.0000 0.0646 0.8550 0.0001 0.0095 59.0000 1.9821 25.3209 0.2039 27.5069 
 34    831   1122   1946    597   2186   1359 -2.2422 0.8621 0.0156 0.0000 0.0000 0.0613 0.8543 0.0008 0.0059 44.0000 1.4948 26.9244 0.3079 28.7271 
 35    851   1132   1934    596   2186   1351 -1.7812 0.6919 0.0000 0.0000 0.0000 0.0597 0.8542 0.0009 0.0021 41.0000 1.4010 29.0418 0.2037 30.6465 
 36    820   1117   1951    597   2186   1363 -2.0938 1.1565 0.0391 0.0000 0.0000 0.0154 0.8954 0.0008 0.0007 55.0000 1.8643 28.0285 0.4034 30.2962 
 37    772   1082   1995    611   2194   1377 -2.1328 0.9822 0.0781 0.0000 0.0000 0.0127 0.8573 0.0007 0.0008 55.0000 1.8956 28.7451 0.9462 31.5869 
 38    796   1099   1977    604   2192   1375 -2.1797 0.7470 0.0078 0.0000 0.0000 0.0164 0.8320 0.0009 0.0015 47.0000 1.7320 28.2175 0.7075 30.6570 
 39    802   1110   1980    590   2181   1367 -2.1172 0.6555 0.0000 0.0000 0.0000 0.0227 0.8109 0.0009 0.0022 55.0000 1.9189 27.4576 0.2315 29.6079 
 40   2849    974   2165    189    702   1028 -1.9219 1.3009 0.0391 0.0000 0.0000 0.0247 0.8064 0.0000 0.0482 300.0000 9.8095 26.1998 0.2160 36.2253 
 41   2910    922   2158    210    661    967 -1.6953 1.3316 0.0469 0.0000 0.0000 0.0246 0.8097 0.0000 0.0121 300.0000 10.0838 27.2984 0.3186 37.7007 
 42    801   1095   1959    607   2205   1371 -1.8984 0.8006 0.0156 0.0000 0.0000 0.0236 0.8029 0.0010 0.0019 52.0000 1.8589 27.4647 0.2368 29.5604 
 43    788   1100   1990    605   2181   1381 -2.0234 1.1097 0.0234 0.0000 0.0000 0.0153 0.8196 0.0010 0.0009 57.0000 1.9325 27.7579 0.2813 29.9717 
 44    828   1122   1963    596   2179   1363 -2.0625 0.7205 0.0156 0.0000 0.0000 0.0145 0.8203 0.0009 0.0009 56.0000 2.1825 27.4181 0.2536 29.8543 
 45   1991   2493    100    407    999   2951 -1.8516 0.5841 0.0000 0.0000 0.0000 0.3830 1.1061 0.0001 0.0095 50.0000 1.7182 30.2867 0.2437 32.2486 
 46    777   1090   1989    589   2197   1367 -1.8203 0.8257 0.0078 0.0000 0.0000 0.0145 0.8169 0.0010 0.0013 55.0000 2.4772 27.4426 0.2484 30.1682 
 47    313    801   2061   1741   1606   2911 -1.8359 1.3666 0.0547 0.0000 0.0000 0.0116 0.8331 0.0000 0.0341 300.0000 9.8301 32.2614 0.3046 42.3961 
 48    775   1077   1999    626   2195   1381 -2.1797 0.7312 0.0312 0.0000 0.0000 0.0114 0.8308 0.0010 0.0006 68.0000 2.7748 27.6077 0.2997 30.6822 
 49    769   1084   1998    630   2193   1375 -1.8516 1.1195 0.0234 0.0000 0.0000 0.0122 0.8231 0.0008 0.0008 62.0000 2.1542 29.7070 0.2800 32.1413 
 50    778   1071   2000    617   2197   1384 -1.9609 0.7622 0.0312 0.0000 0.0000 0.0100 0.8517 0.0007 0.0004 86.0000 3.9552 31.5309 0.2947 35.7808 
 51    829   1121   1947    602   2188   1359 -1.9531 0.6907 0.0391 0.0000 0.0000 0.0100 0.8640 0.0007 0.0007 88.0000 3.1556 27.9879 0.3749 31.5184 
 52    828   1120   1946    586   2182   1361 -1.8203 0.7942 0.0078 0.0000 0.0000 0.0100 0.8800 0.0010 0.0004 80.0000 3.9335 27.3328 0.2819 31.5482 
 53    525   1014   1965    738   2193   1698 -1.8047 0.9616 0.0312 0.0000 0.0000 0.0100 0.9066 0.0009 0.0009 71.0000 2.7646 28.0761 0.3389 31.1797 
 54    804   1108   1974    603   2184   1375 -2.2344 0.8580 0.0156 0.0000 0.0000 0.0100 0.9449 0.0009 0.0005 76.0000 4.0222 28.0932 0.2336 32.3490 
 55    804   1109   1973    604   2184   1375 -1.8594 0.9250 0.0000 0.0000 0.0000 0.0100 0.9185 0.0007 0.0005 76.0000 3.3999 28.0870 0.3107 31.7976 
 56    806   1096   1981    597   2187   1374 -1.8359 0.9256 0.0234 0.0000 0.0000 0.0100 0.9484 0.0010 0.0005 82.0000 4.1526 27.7650 0.3320 32.2496 
 57    785   1107   1974    604   2191   1377 -1.8828 0.5767 0.0000 0.0000 0.0000 0.0100 0.9936 0.0007 0.0004 77.0000 3.0064 28.2924 0.3458 31.6446 
 58    771   1081   2019    614   2197   1381 -2.0391 0.7465 0.0078 0.0000 0.0000 0.0100 1.0306 0.0008 0.0007 80.0000 3.8134 28.4248 1.9962 34.2345 
 59    772   1081   1978    612   2180   1397 -2.0625 0.7992 0.0000 0.0000 0.0000 0.0100 1.0253 0.0007 0.0009 78.0000 3.3187 29.0771 1.2992 33.6949 
 60    757   1089   1971    598   2170   1413 -2.1094 0.9171 0.0391 0.0000 0.0000 0.0100 1.0186 0.0008 0.0012 76.0000 3.8172 27.6963 0.3491 31.8626 
 61    766   1091   1968    606   2181   1420 -2.0625 0.9252 0.0391 0.0000 0.0000 0.0100 1.0122 0.0007 0.0018 87.0000 3.6336 27.8537 0.3142 31.8014 
 62    770   1091   1965    601   2159   1407 -2.1875 1.2874 0.1250 0.0000 1.0000 0.0100 1.0064 0.0006 0.0010 91.0000 4.2706 26.1358 0.2622 30.6686 
 63    765   1085   1958    603   2160   1407 -2.2344 0.9368 0.1016 0.0000 0.0000 0.0100 0.9950 0.0008 0.0008 77.0000 3.2406 26.2962 0.3150 29.8518 
 64    764   1085   1958    605   2159   1407 -2.0547 0.7450 0.0312 0.0000 0.0000 0.0100 0.9779 0.0009 0.0008 74.0000 3.2129 25.9761 0.2451 29.4341 
 65    770   1086   1960    594   2163   1407 -2.2500 1.1496 0.0781 0.0000 0.0000 0.0100 0.9863 0.0009 0.0004 72.0000 2.6165 25.7461 0.3850 28.7477 
 66    770   1086   1960    593   2163   1407 -2.0078 0.8425 0.0312 0.0000 0.0000 0.0100 0.9727 0.0009 0.0004 72.0000 2.6660 26.2168 0.3042 29.1869 
 67   2457   2296    435    717   1394   2303 -2.0938 0.9833 0.0391 0.0000 0.0000 0.0100 0.9765 0.0001 0.0100 102.0000 4.1325 32.1912 0.3163 36.6401 
 68   2450   2280    434    701   1395   2299 -1.9453 1.2332 0.0000 0.0000 0.0000 0.0100 0.9801 0.0010 0.0064 92.0000 4.2354 31.8360 0.4059 36.4773 
 69   2450   2312    432    730   1388   2301 -2.0156 1.3226 0.0078 0.0000 0.0000 0.0100 0.9829 0.0008 0.0017 80.0000 3.3216 31.4984 0.4382 35.2582 
 70   2443   2304    438    718   1410   2311 -2.1719 1.4348 0.0703 0.0000 0.0000 0.0100 0.9833 0.0009 0.0023 83.0000 3.9711 30.4497 0.4013 34.8221 
 71   1185   1770    108   1222   1878   1460 -2.0469 1.3049 0.1250 0.0000 0.0000 0.0100 0.9844 0.0000 0.0099 133.0000 5.8443 24.1430 0.3133 30.3007 
