  0   1351   2681   1102    295   2063    101 -2.0000 0.6772 0.0000 0.2274 0.0000 0.6931 -0.4589 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  1    991    558    962   1614    591    382 -1.6641 1.3115 0.0625 0.0229 0.0000 0.6931 -0.4589 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  2   2205    487   1663   2014   2648    810 -1.2969 0.7301 0.0078 0.0026 0.0000 0.6931 -0.4589 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  3   1931   2142   2943   1087   1830   2200 -1.7344 0.9998 0.0391 0.0916 0.0000 0.6931 -0.4589 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  4   1163   1780    121   1183   1869   1468 -2.0938 0.9833 0.0625 0.0129 0.0000 0.6931 -0.4589 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  5   1464   1200   1389   2752    990    574 -1.9062 1.8967 0.1328 0.0032 0.0000 0.6931 -0.4589 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  6    764   1102   1958    600   2179   1401 -2.1484 1.0250 0.0391 0.0481 0.0000 0.6931 -0.4589 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  7    398   1446   1445   2276   2329   2493 -1.7344 1.0942 0.0547 0.0450 0.0000 0.6931 -0.4589 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  8   2387    145   1158   2571    834   1768 -1.5156 0.9604 0.0547 0.0397 0.0000 0.6931 -0.4589 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  9   2586   2281    474    737   1463   2350 -2.1016 1.1628 0.0625 0.3638 0.0000 0.6931 -0.4589 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 10   1626   2097   2827    925    304   2614 -2.1484 1.3557 0.1875 0.2401 1.8462 0.6931 -0.4589 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 11    561   2523   2490   1484   1380   2712 -2.2109 1.3489 0.1797 0.1665 1.0000 0.6931 -0.4589 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 12    921   1884    289   2888   2879   1992 -1.8828 0.7972 0.0547 0.0859 0.0000 0.6931 -0.4589 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 13   2518   2758   1794   1941   2740    426 -1.7422 1.6259 0.0625 0.1199 0.0000 0.6931 -0.4589 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 14   2893   1387   2279   2183   1192   1852 -1.7812 1.3219 0.0859 0.0103 0.0000 0.6931 -0.4589 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 15   2838    926   2254    197    710    948 -1.8281 1.3246 0.0625 0.0838 0.0000 0.6931 -0.4589 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 16    134    303   2662   2441    238   1224 -1.6406 0.8147 0.0469 0.0079 0.0000 0.6931 -0.4589 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 17   1767   1636    624   1260   2485   1599 -1.7734 1.3735 0.0000 0.1305 0.0000 0.6931 -0.4589 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 18   2063   2971    809    425    430    971 -1.4219 1.2694 0.0312 0.0508 0.0000 0.6931 -0.4589 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 19    353    767   2075   1756   1688   2884 -2.3203 1.3690 0.1250 0.2271 0.0000 0.6931 -0.4589 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
