# iter                                         point                                        energy   fidelity  variance  corr_length const_kernel std_energies average_distances nit time_opt_bayes time_qaoa time_opt_kernel time_step 
   0 +0.00000000 +1.00000000 +0.00000000 +1.00000000 +1.00000000 +1.00000000 +1.00000000 +2.00000000 -4.42944009 +0.03639286 +5.97245100 +3.68644217 +16.51793485 +0.00000000 +0.00000000        0 +0.00000000 +0.00000000 +0.00000000 +0.00000000 
   1 +1.00000000 +2.00000000 +0.00000000 +1.00000000 +2.00000000 +2.00000000 +1.00000000 +1.00000000 -4.19511902 +0.16895930 +11.05150450 +3.68644217 +16.51793485 +0.00000000 +0.00000000        0 +0.00000000 +0.00000000 +0.00000000 +0.00000000 
   2 +2.00000000 +1.00000000 +1.00000000 +0.00000000 +0.00000000 +0.00000000 +2.00000000 +1.00000000 -4.75721778 +0.11713918 +3.73126091 +3.68644217 +16.51793485 +0.00000000 +0.00000000        0 +0.00000000 +0.00000000 +0.00000000 +0.00000000 
   3 +1.00000000 +2.00000000 +2.00000000 +2.00000000 +1.00000000 +0.00000000 +0.00000000 +0.00000000 -3.88402001 +0.13864545 +9.18360949 +3.68644217 +16.51793485 +0.00000000 +0.00000000        0 +0.00000000 +0.00000000 +0.00000000 +0.00000000 
   4 +1.00000000 +1.00000000 +2.00000000 +1.00000000 +1.00000000 +2.00000000 +2.00000000 +0.00000000 -6.53466646 +0.50206882 +7.84505906 +3.68644217 +16.51793485 +0.00000000 +0.00000000        0 +0.00000000 +0.00000000 +0.00000000 +0.00000000 
   5 +2.00000000 +2.00000000 +2.00000000 +2.00000000 +0.00000000 +2.00000000 +0.00000000 +0.00000000 -4.82170976 +0.10608118 +3.96280477 +3.68644217 +16.51793485 +0.00000000 +0.00000000        0 +0.00000000 +0.00000000 +0.00000000 +0.00000000 
   6 +0.00000000 +0.00000000 +0.00000000 +0.00000000 +1.00000000 +1.00000000 +1.00000000 +2.00000000 -4.42944009 +0.03639286 +5.97245100 +3.68644217 +16.51793485 +0.00000000 +0.00000000        0 +0.00000000 +0.00000000 +0.00000000 +0.00000000 
   7 +1.00000000 +0.00000000 +2.00000000 +0.00000000 +3.00000000 +0.00000000 +1.00000000 +2.00000000 -2.83753433 +0.00173659 +5.06374349 +3.68644217 +16.51793485 +0.00000000 +0.00000000        0 +0.00000000 +0.00000000 +0.00000000 +0.00000000 
   8 +2.00000000 +0.00000000 +1.00000000 +3.00000000 +0.00000000 +1.00000000 +2.00000000 +2.00000000 -5.67170731 +0.32166219 +6.71356480 +3.68644217 +16.51793485 +0.00000000 +0.00000000        0 +0.00000000 +0.00000000 +0.00000000 +0.00000000 
   9 +0.00000000 +1.00000000 +1.00000000 +1.00000000 +2.00000000 +2.00000000 +0.00000000 +0.00000000 -5.95964776 +0.22510678 +5.21084497 +3.68644217 +16.51793485 +0.00000000 +0.00000000        0 +0.00000000 +0.00000000 +0.00000000 +0.00000000 
  10 +0.01000000 +0.01000000 +1.87802914 +1.90099714 +0.01000000 +3.14159265 +2.74779707 +0.01000000 -4.08872879 +0.11014118 +5.67674998 +3.68644217 +16.51793485 +0.00008316 +0.00984755      124 +2.37991190 +0.00000000 +0.77936983 +3.15928173 
  11 +1.08469497 +0.64413919 +1.82448160 +0.95786460 +1.05221528 +1.98499227 +1.45662314 +0.01000000 -4.91383244 +0.21523322 +7.38331996 +1.77158596 +7.89983229 +0.00017715 +0.00972008       41 +0.93058109 +0.00000000 +0.82960892 +1.76019096 
  12 +0.82682490 +1.71002280 +2.19069089 +1.12571445 +0.92726261 +1.87679094 +2.61284399 +0.07471002 -6.00494375 +0.26871813 +4.08843058 +1.33219114 +10.67047180 +0.00008812 +0.00754831       41 +0.91683197 +0.00000000 +0.77714324 +1.69397521 
  13 +0.96477444 +1.12973719 +1.94067345 +1.12017524 +0.91372928 +1.97127311 +2.30142759 +0.09054362 -4.67675894 +0.08080331 +3.15884358 +1.13722927 +9.22596662 +0.00011930 +0.00953822       47 +1.01980209 +0.00000072 +0.77482009 +1.79462409 
  14 +0.83634127 +1.48927920 +2.42980921 +0.76818629 +1.17074378 +1.96684929 +1.76430356 +0.01000000 -4.77185649 +0.17061458 +6.14524582 +0.67049236 +14.97901338 +0.00032915 +0.00892530       47 +1.02224517 +0.00000000 +0.77888989 +1.80113602 
  15 +1.01571134 +0.98483349 +2.05574536 +0.94714718 +1.04148093 +2.00400611 +1.91023534 +0.01000000 -6.23832244 +0.51232529 +10.45303182 +0.56362848 +14.69784599 +0.00096382 +0.00729835       57 +1.20381808 +0.00000000 +0.80576301 +2.00958109 
  16 +0.96139690 +1.00740024 +1.95011856 +1.01417793 +0.98350114 +1.99619021 +1.93253211 +0.01000000 -6.63726737 +0.48071096 +6.43605165 +0.56548483 +14.66893169 +0.00097977 +0.00506205       61 +1.28688598 +0.00000000 +0.78962493 +2.07651210 
  17 +0.88416907 +1.05825468 +1.88030057 +1.04083349 +0.95459467 +1.98681841 +1.85102503 +0.01000000 -5.69077158 +0.25754904 +5.38597833 +0.57024006 +14.31865642 +0.00083612 +0.00657497       58 +1.29392099 +0.00000095 +0.79523206 +2.08915496 
  18 +0.10873294 +1.03594295 +0.94603749 +1.02296059 +1.94367745 +1.90255344 +0.08893498 +0.12926405 -6.05760535 +0.28219837 +6.21572218 +0.48411182 +15.90812978 +0.00096181 +0.00910320       54 +1.17951584 +0.00000000 +0.80948138 +1.98899794 
  19 +0.83480037 +1.89292565 +2.32870148 +1.09431341 +0.96183289 +1.81559681 +2.61770306 +0.01000000 -6.31651901 +0.41895240 +6.66717936 +0.49813989 +15.25014450 +0.00086389 +0.00803854       59 +1.25373530 +0.00000072 +0.79653025 +2.05026722 
  20 +0.92756666 +1.95475453 +2.32356814 +1.10924313 +0.93668334 +1.70567099 +2.59689631 +0.01000000 -6.03981517 +0.38840716 +7.03047042 +0.51430542 +14.73351152 +0.00030133 +0.00891603       77 +1.57695293 +0.00000000 +0.79784203 +2.37479496 
  21 +0.71500311 +1.89401595 +2.39368146 +1.07425415 +1.00541366 +1.93580083 +2.67745430 +0.01000000 -6.54340036 +0.51001202 +8.11598241 +0.52276919 +14.24292482 +0.00099912 +0.00804128       50 +1.09673929 +0.00000000 +0.82386684 +1.92060709 
  22 +0.65880033 +1.92175382 +2.43541447 +1.08670092 +1.01790043 +1.98310782 +2.74110914 +0.01000000 -6.60438298 +0.53230505 +8.57917980 +0.53862777 +14.01360794 +0.00054618 +0.00962171       65 +1.40598822 +0.00000000 +0.80232811 +2.20831633 
  23 +0.64922409 +1.93077010 +2.46030765 +1.11956588 +0.99887016 +1.99953694 +2.76341028 +0.01000000 -6.69324533 +0.51996084 +7.74886248 +0.55080781 +13.81218201 +0.00035930 +0.00905783       72 +1.51262999 +0.00000000 +0.80187201 +2.31450295 
  24 +0.64710074 +1.93910293 +2.51288168 +1.19769030 +0.94445252 +2.02665109 +2.78240186 +0.01000000 -6.59101534 +0.42774888 +5.69670099 +0.55703392 +13.68556444 +0.00085719 +0.00839845       57 +1.21774435 +0.00000072 +0.80045414 +2.01820016 
  25 +1.01610706 +0.90244461 +1.95142576 +1.01861778 +0.99172614 +2.02296319 +1.97068872 +0.01000000 -6.98895893 +0.64476514 +9.94833607 +0.56243660 +13.38496430 +0.00067786 +0.00334791       66 +1.40070701 +0.00000119 +0.81053305 +2.21124196 
  26 +1.04426942 +0.74783586 +1.92067216 +1.04724824 +0.98757046 +2.08980153 +1.99906698 +0.01000000 -5.60440295 +0.49052113 +14.05790857 +0.55276790 +13.87117249 +0.00089937 +0.00607526       60 +1.31298780 +0.00000000 +0.82031894 +2.13330674 
  27 +3.14159265 +3.14159265 +3.14159265 +3.14159265 +3.14159265 +3.14159265 +3.14159265 +3.14159265 -4.50000000 +0.03125000 +2.25000000 +0.45164836 +15.07484512 +0.00049666 +0.00985438      124 +2.42585182 +0.00000000 +0.79408407 +3.21993685 
  28 +1.06076300 +0.92368447 +1.92162847 +1.01628634 +0.98437722 +1.95195444 +1.94577439 +0.01000000 -7.04331777 +0.55814838 +6.98604495 +0.45608667 +15.39225531 +0.00092604 +0.00360880       77 +1.59247279 +0.00000000 +0.81299400 +2.40546679 
  29 +0.62186705 +1.98986542 +2.43943105 +1.15699897 +1.01176333 +1.93081995 +2.81082638 +0.10815471 -7.00791821 +0.59643193 +6.98904165 +0.46303480 +15.09175465 +0.00064304 +0.00860771       54 +1.18134499 +0.00000000 +0.81391311 +1.99525905 
  30 +1.06391651 +0.92323295 +1.91943889 +1.01543602 +0.98788596 +1.94288405 +1.94629764 +0.01000000 -7.03532025 +0.54917427 +6.80918412 +0.46874615 +14.98385827 +0.00082403 +0.00314937       69 +1.48764086 +0.00000000 +0.82977915 +2.31742120 
  31 +1.06354388 +0.92341534 +1.91987732 +1.01550176 +0.98736054 +1.94421021 +1.94630267 +0.01000000 -7.03699917 +0.55051507 +6.83105581 +0.46918808 +14.95369281 +0.00095890 +0.00323747       67 +1.43102694 +0.00000000 +0.82034802 +2.25137591 
  32 +1.06363914 +0.92340565 +1.91981265 +1.01548484 +0.98741123 +1.94400414 +1.94629872 +0.01000000 -7.03681955 +0.55028895 +6.82655195 +0.46929299 +14.94747341 +0.00095397 +0.00293653       62 +1.32482100 +0.00000095 +0.82273889 +2.14756203 
  33 +1.06369189 +0.92336772 +1.91974602 +1.01546363 +0.98753886 +1.94374196 +1.94631242 +0.01000000 -7.03650262 +0.55004749 +6.82266478 +0.46934658 +14.94420344 +0.00093551 +0.00319408       62 +1.33145976 +0.00000000 +0.82632613 +2.15778589 
  34 +0.58430656 +2.03338882 +2.42020391 +1.18014621 +1.03593632 +1.87741309 +2.84199977 +0.20612105 -6.81395911 +0.52489007 +6.45670037 +0.46938141 +14.94195837 +0.00081667 +0.00702080       52 +1.15227509 +0.00000000 +0.82764006 +1.97991610 
  35 +0.63886125 +2.00485924 +2.41273517 +1.16318778 +0.99746750 +1.90952222 +2.85045523 +0.09771384 -6.65417703 +0.51864494 +7.11427827 +0.46748363 +14.60345625 +0.00075370 +0.00522568       52 +1.20822501 +0.00000000 +0.82752585 +2.03575206 
  36 +1.06441932 +0.92315003 +1.92537844 +1.02315085 +0.98640114 +1.94307572 +1.94376923 +0.01489138 -6.92903574 +0.53667879 +7.26208814 +0.46561731 +14.53985434 +0.00098855 +0.00309809       57 +1.23961592 +0.00000000 +0.82884312 +2.06845999 
  37 +1.05969237 +0.92479596 +1.90526862 +0.99030096 +0.98944204 +1.95217101 +1.95244206 +0.01000000 -7.40239028 +0.61477492 +5.62939060 +0.46579374 +14.49746347 +0.00083818 +0.00277634       65 +1.37660575 +0.00000000 +0.81905627 +2.19566274 
  38 +0.98186602 +0.07376831 +1.90893182 +0.05208899 +2.85185443 +0.08894332 +1.01181043 +1.92235097 -3.75343861 +0.01183025 +2.78491984 +0.44953745 +15.49279228 +0.00087938 +0.00408708      151 +2.90216875 +0.00000000 +0.83245230 +3.73462200 
  39 +1.09820607 +0.94320451 +1.75382632 +0.76020316 +1.01387924 +1.92355740 +1.98133403 +0.01402052 -7.49819832 +0.69699021 +6.35053704 +0.45553866 +15.46173395 +0.00096197 +0.00603287       58 +1.30461097 +0.00000000 +0.83121324 +2.13582516 
  40 +1.09064162 +0.94980359 +1.81473759 +0.87239914 +1.00498461 +1.97979767 +1.96838178 +0.01000000 -8.13199766 +0.78532519 +3.02046675 +0.45585304 +14.89402812 +0.00100223 +0.00783096       56 +1.22385597 +0.00000000 +0.83488202 +2.05873799 
  41 +1.13197850 +0.98627455 +1.78958142 +0.87816845 +1.01388806 +2.04394093 +1.95865529 +0.01000000 -7.95706164 +0.79733824 +4.82322078 +0.43110646 +15.44201068 +0.00072940 +0.00352587       69 +1.45587206 +0.00000000 +0.84845090 +2.30432487 
  42 +1.08951184 +0.95433876 +1.81782416 +0.86838829 +0.98171740 +2.01005471 +1.96761819 +0.01000000 -8.11920251 +0.79091995 +3.20232054 +0.42890266 +15.05932652 +0.00088259 +0.00212278       74 +1.55411816 +0.00000119 +0.85788083 +2.41200113 
  43 +1.09188771 +0.95484042 +1.81938257 +0.86576460 +0.97329850 +2.01148438 +1.96666165 +0.01000000 -8.09515073 +0.78459623 +3.25194221 +0.42934541 +14.95684718 +0.00089573 +0.00184856       77 +1.65837383 +0.00000000 +0.87103224 +2.52940607 
  44 +1.08707053 +0.95422073 +1.81736271 +0.86838927 +0.98621388 +2.01159211 +1.96799513 +0.03075208 -8.15611510 +0.80281541 +3.14680609 +0.43002640 +14.90151877 +0.00091861 +0.00224221       66 +1.42879820 +0.00000095 +0.84713078 +2.27593112 
  45 +1.08666154 +0.95452834 +1.81736755 +0.86685496 +0.98569017 +2.01355055 +1.96767982 +0.04600872 -8.15907144 +0.80447945 +3.15651802 +0.43012164 +14.84193095 +0.00077354 +0.00204683       66 +1.39274216 +0.00000000 +0.84541798 +2.23816109 
  46 +1.08714569 +0.95483279 +1.81731532 +0.86617105 +0.98510381 +2.01413395 +1.96742112 +0.05102142 -8.15552167 +0.80377672 +3.17226125 +0.43090991 +14.79544544 +0.00076899 +0.00185273       77 +1.60861182 +0.00000000 +0.85502577 +2.46363878 
  47 +1.08744072 +0.95496329 +1.81730790 +0.86594290 +0.98479985 +2.01427557 +1.96731018 +0.05239078 -8.15374480 +0.80338209 +3.17905069 +0.43128863 +14.77615447 +0.00099708 +0.00246550       67 +1.42427015 +0.00000000 +0.90313482 +2.32740593 
