  0   1348   2233 -29.4610 328.9311 0.0312 0.0308 0.0000 0.9438 0.1000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  1    932   1517 -24.2592 576.6951 0.0938 0.0872 0.0000 0.9438 0.1000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  2    490   1012 -28.3598 381.0582 0.0703 0.0801 0.0000 0.9438 0.1000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  3   2941    906 -31.5994 261.9481 0.0234 0.0292 0.0000 0.9438 0.1000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  4   2212   2863 -32.9537 308.7672 0.0312 0.0281 0.0000 0.9438 0.1000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  5   2009    288 -44.5636 403.5332 0.1641 0.1505 0.0000 0.9438 0.1000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  6   1821   2578 -32.3162 355.2515 0.0703 0.0780 0.0000 0.9438 0.1000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  7    302   1727 -41.2511 509.7125 0.0547 0.0535 0.0000 0.9438 0.1000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  8   1103    481 -28.7578 202.2399 0.0234 0.0721 0.0000 0.9438 0.1000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  9   2528   1914 -27.0335 216.4598 0.0000 0.0040 0.0000 0.9438 0.1000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
